Column1,Nama,Kategori,Jumlah Porsi,Takaran Porsi,Kalori (kal),Lemak (g),Lemak Jenuh (g),Lemak Tak Jenuh Ganda (g),Lemak Tak Jenuh Tunggal (g),Kolestrol (g),Protein (g),Karbohidrat (g),Serat (g),Gula (g),Sodium (g),Kalium (g)
0,Alpukat,Buah Buahan,100,gram (g),160,14.66,2.126,1.816,9.799,0,2,8.53,6.7,0.66,7,485
1,Guacamole,Buah Buahan,1,sdm,23,2.08,0.302,0.258,1.393,0,0.29,1.24,1,0.1,22,69
2,Guacamole dengan Tomat,Buah Buahan,100,gram (g),116,9.94,1.446,1.258,6.625,0,1.62,7.64,4.9,1.37,201,393
3,Guacamole dengan Tomat dan Cabe Paprika,Buah Buahan,1,mangkok,266,22.72,3.304,2.882,15.129,0,3.77,17.75,11.4,3.31,459,913
4,Buah Anggur,Buah Buahan,1,tanpa biji,3,0.01,0.003,0.002,0,0,0.04,0.9,0,0.77,0,10
5,"Anggur (Merah atau Hijau, Jenis Varietas Eropa Seperti Thompson tanpa Biji)",Buah Buahan,100,gram (g),69,0.16,0.054,0.048,0.007,0,0.72,18.1,0.9,15.48,2,191
6,Anggur Jenis Amerika (Kulit Licin),Buah Buahan,1,anggur,2,0.01,0.003,0.002,0,0,0.02,0.41,0,0.39,0,5
7,Anggur Jenis Eropa,Buah Buahan,1,tanpa biji,3,0.01,0.003,0.002,0,0,0.04,0.9,0,0.77,0,10
8,Apel,Buah Buahan,1,sedang (diameter 7 cm) (kira-kira 3 per 450 g),72,0.23,0.039,0.07,0.01,0,0.36,19.06,3.3,14.34,1,148
9,Apel (tanpa Kulit),Buah Buahan,100,gram (g),48,0.13,0.021,0.037,0.005,0,0.27,12.76,1.3,10.1,0,90
10,Apel Emas Lezat,Buah Buahan,1,sedang (diameter 7 cm),72,0.23,0.038,0.071,0.01,0,0.36,19.06,3.3,14.33,1,148
11,Apel Merah Lezat,Buah Buahan,1,sedang (diameter 7 cm),72,0.23,0.038,0.071,0.01,0,0.36,19.06,3.3,14.33,1,148
12,Apel Fuji,Buah Buahan,100,gram (g),52,0.17,0.028,0.051,0.007,0,0.26,13.81,2.4,10.39,1,107
13,Blewah Melon,Buah Buahan,100,gram (g),34,0.19,0.051,0.081,0.003,0,0.84,8.16,0.9,7.86,16,267
14,Blueberi,Buah Buahan,100,gram (g),57,0.33,0.028,0.146,0.047,0,0.74,14.49,2.4,9.96,1,77
15,"Blueberry (tanpa Pemanis, Beku)",Buah Buahan,100,gram (g),51,0.64,0.053,0.279,0.091,0,0.42,12.17,2.7,8.45,1,54
16,"Blueberry (Manis, Beku)",Buah Buahan,100,gram (g),81,0.13,0.011,0.057,0.018,0,0.4,21.95,2.2,19.72,1,60
17,Blueberry Tawar dalam Kemasan Air (Dimasak atau Kalengan),Buah Buahan,1,mangkok,93,0.54,0.046,0.239,0.076,0,1.22,23.69,3.9,16.27,2,112
18,Beri,Buah Buahan,100,gram (g),33,0.3,0.016,0.156,0.043,0,0.68,7.98,2.1,4.87,1,150
19,Stroberi,Buah Buahan,100,gram (g),32,0.3,0.015,0.155,0.043,0,0.67,7.68,2,4.66,1,153
20,Rasberi,Buah Buahan,100,gram (g),52,0.65,0.019,0.375,0.064,0,1.2,11.94,6.5,4.42,1,151
21,Blackberry,Buah Buahan,100,gram (g),43,0.49,0.014,0.28,0.047,0,1.39,9.61,5.3,4.88,1,162
22,Campuran Buah Kering,Buah Buahan,100,gram (g),244,0.44,0.06,0.082,0.063,0,2.19,64.81,7.4,47.66,17,746
23,Apel Kering,Buah Buahan,100,gram (g),243,0.32,0.052,0.093,0.013,0,0.93,65.89,8.7,57.19,87,450
24,Cranberry Kering,Buah Buahan,100,gram (g),308,1.37,0.103,0.658,0.198,0,0.07,82.36,5.7,65,3,40
25,Prune Kering,Buah Buahan,100,gram (g),240,0.38,0.088,0.062,0.053,0,2.18,63.88,7.1,38.13,2,732
26,Aprikot Kering,Buah Buahan,100,gram (g),241,0.51,0.017,0.074,0.074,0,3.39,62.64,7.3,53.44,10,1162
27,Buah Pir,Buah Buahan,100,gram (g),58,0.12,0.006,0.029,0.026,0,0.38,15.46,3.1,9.8,1,119
28,Pir (Dimasak atau Kalengan),Buah Buahan,1,mangkok,197,0.35,0.019,0.08,0.072,0,0.53,50.99,4.3,40.43,13,173
29,Pir Asia,Buah Buahan,1,"buah dengan tinggi 5,5 cm x diameter 6,5 cm",51,0.28,0.015,0.067,0.06,0,0.61,12.99,4.4,8.6,0,148
30,"Pir (Padat dan Cair, Kemasan Sirup Ringan, Kalengan)",Buah Buahan,1,"mangkok, separuh",143,0.08,0.005,0.018,0.015,0,0.48,38.08,4,30.37,13,166
31,Ceri Manis,Buah Buahan,1,ceri,4,0.01,0.003,0.004,0.003,0,0.07,1.09,0.1,0.87,0,15
32,Bing Ceri,Buah Buahan,100,gram (g),63,0.2,0.038,0.052,0.047,0,1.06,16.01,2.1,12.82,0,222
33,Ceri Beku,Buah Buahan,100,gram (g),46,0.44,0.1,0.132,0.12,0,0.92,11.02,1.6,9.02,1,124
34,Ceri Merah Asam,Buah Buahan,100,gram (g),50,0.3,0.068,0.09,0.082,0,1,12.18,1.6,8.49,3,173
35,Jeruk,Buah Buahan,1,"buah (diameter 6,5 cm)",62,0.16,0.02,0.033,0.03,0,1.23,15.39,3.1,12.25,0,237
36,Jeruk Keprok (Jeruk Mandarin),Buah Buahan,1,"kecil (diameter 5,5 cm)",37,0.22,0.027,0.046,0.042,0,0.57,9.34,1.3,7.41,1,116
37,Jeruk Bali,Buah Buahan,100,gram (g),32,0.1,0.014,0.024,0.013,0,0.63,8.08,1.1,6.98,0,139
38,Jeruk Bali (Merah dan Merah Muda),Buah Buahan,100,gram (g),42,0.14,0.02,0.036,0.02,0,0.77,10.66,1.6,6.89,0,135
39,Jeruk Mandarin (Kaleng atau Beku),Buah Buahan,100,gram (g),61,0.1,0.012,0.02,0.018,0,0.45,16.19,0.7,15.49,6,78
40,"Jeruk Keprok (Jeruk Mandarin, Jus Kemasan, Kalengan)",Buah Buahan,1,gelas,92,0.07,0.007,0.012,0.012,0,1.54,23.83,1.7,22.09,12,331
41,"Jeruk Keprok (Jeruk Mandarin,  Sirup Ringan Kemasan, Kalengan)",Buah Buahan,1,gelas,154,0.25,0.03,0.05,0.045,0,1.13,40.8,1.8,39.03,15,197
42,Kelapa,Buah Buahan,100,gram (g),354,33.49,29.698,0.366,1.425,0,3.33,15.23,9,6.23,20,356
43,Kelapa Kering,Buah Buahan,100,gram (g),660,64.53,57.218,0.706,2.745,0,6.88,23.65,16.3,7.35,37,543
44,Air Kelapa,Buah Buahan,1,gelas,46,0.48,0.422,0.005,0.019,0,1.73,8.9,2.6,6.26,252,600
45,Kismis,Buah Buahan,100,gram (g),299,0.46,0.058,0.037,0.051,0,3.07,79.18,3.7,59.19,11,749
46,Kismis (tanpa Biji),Buah Buahan,100,gram (g),299,0.46,0.058,0.037,0.051,0,3.07,79.18,3.7,59.19,11,749
47,Kismis Emas (tanpa Biji),Buah Buahan,100,gram (g),302,0.46,0.151,0.135,0.019,0,3.39,79.52,4,59.19,12,746
48,Kismis Dilapisi Coklat,Buah Buahan,1,kismis,4,0.15,0.088,0.005,0.047,0,0.04,0.68,0,0.62,0,5
49,Kismis Dilapisi Coklat Susu,Buah Buahan,100,gram (g),390,14.8,8.8,0.51,4.74,3,4.1,68.3,4.2,62.22,36,514
50,Kurma,Buah Buahan,1,kurma,23,0.03,0.003,0.002,0.003,0,0.2,6.23,0.7,5.26,0,54
51,Mangga,Buah Buahan,100,gram (g),65,0.27,0.066,0.051,0.101,0,0.51,17,1.8,14.8,2,156
52,Mangga Kering,Buah Buahan,1,"untai (8,5 cm x 2 cm x 0,3 cm)",16,0.04,0.01,0.007,0.015,0,0.07,4.08,0.3,3.76,0,23
53,Nektar Mangga,Buah Buahan,1,mangkok,145,0.28,0.065,0.05,0.1,0,0.5,37.9,1.8,35.67,5,140
54,Nanas,Buah Buahan,100,gram (g),48,0.12,0.009,0.042,0.014,0,0.54,12.63,1.4,9.26,1,115
55,"Nanas (Padat dan Cair, Air Kemasan, Kalengan)",Buah Buahan,1,"mangkok, lumatan, irisan, atau potongan",79,0.22,0.015,0.076,0.027,0,1.06,20.42,2,18.45,2,312
56,"Nanas Potongan (Manis, Beku)",Buah Buahan,100,gram (g),86,0.1,0.007,0.035,0.012,0,0.4,22.2,1.1,21.1,2,100
57,"Nanas (Padat dan Cair, Kemasan Sirup Ringan, Kalengan)",Buah Buahan,1,"mangkok, lumatan, irisan, atau potongan",131,0.3,0.023,0.101,0.033,0,0.91,33.89,2,31.88,3,265
